Sitecode,Monthcode,Replicate,Wrack,Armases_4m2,Part_sampled,Height,Width,Depth,Galls,Miners,Neither,Toughness1,Toughness2,Toughness3
1,6,2,22,0,1,130,50,65,0,0,30,110,135,115
1,6,4,13,0,0.5,155,100,100,0,0,30,115,150,155
1,6,5,66,0,0.5,155,70,90,0,0,30,140,155,80
1,6,7,216,0,1,100,50,45,0,0,30,95,115,165
1,6,1,25,0,1,140,95,120,0,0,30,95,185,125
1,6,3,4,0,1,145,95,110,0,0,30,105,95,145
1,6,6,128,0,0.5,135,125,120,0,0,30,145,105,110
1,6,8,126,0,1,110,90,70,0,0,30,200,150,150
1,7,2,7,0,1,150,100,80,0,0,30,225,265,230
1,7,4,1,0,1,140,100,80,0,0,30,180,250,180
1,7,6,27,0,1,150,105,90,0,0,30,205,260,205
1,7,7,76,0,1,150,140,110,0,1,30,180,215,235
1,7,5,8,0,1,130,60,85,0,0,30,275,130,235
1,7,3,4,0,1,165,80,140,0,0,30,225,165,180
1,7,8,147,0,1,160,90,100,0,0,30,255,235,305
1,7,1,112,0,1,150,85,80,0,0,30,245,160,265
1,8,4,14,0,1,160,100,85,0,0,30,315,240,245
1,8,5,28,0,1,135,115,120,0,0,30,325,325,300
1,8,7,3,0,1,150,135,125,0,0,30,300,325,325
1,8,8,80,0,1,145,90,110,0,0,30,250,250,275
1,8,1,108,0,1,130,115,90,0,0,30,360,300,275
1,8,6,5,0,1,135,100,125,0,0,30,350,340,350
1,8,999,30.5,0,1,110,162,100,0,0,29.5,175,218,175
2,6,1,4,0,1,140,70,85,0,0,30,180,175,175
2,6,5,1,0,1,150,150,110,0,0,30,235,225,225
2,6,6,2,2,1,140,60,82,0,0,30,245,200,205
2,6,7,1,5,1,170,180,85,0,0,30,225,150,165
2,6,2,12,0,1,155,100,110,0,1,29,130,160,170
2,6,4,5,0,1,130,70,70,0,0,30,175,280,175
2,6,8,4,1,1,185,100,130,0,0,30,220,185,205
2,6,3,9,1,1,160,95,50,0,0,30,145,180,175
2,7,2,1,0,1,170,100,150,0,2,28,155,250,140
2,7,5,17,0,1,180,115,105,0,5,25,155,135,170
2,7,7,90,0,0.5,180,150,260,0,1,29,195,230,290
2,7,8,4,0,1,140,110,110,3,0,27,230,60,150
2,7,6,4,0,1,125,65,100,0,1,29,65,160,205
2,7,3,13,0,1,150,100,85,0,2,28,135,265,180
2,7,4,2,0,1,140,70,80,0,0,30,285,255,280
2,7,1,3,0,0.5,150,130,170,0,1,29,140,180,135
2,8,2,2,2,0.5,135,85,70,1,1,28,350,275,295
2,8,3,26,2,0.5,150,90,85,1,3,26,340,360,300
2,8,5,4,0,0.5,155,120,135,0,4,26,230,225,200
2,8,8,2,0,0.5,155,95,100,0,2,28,250,999,999
2,8,4,27,3,0.5,145,125,95,0,3,27,220,200,999
2,8,1,5,3,0.5,135,95,100,19,1,10,250,240,180
2,8,7,11,0,0.5,160,140,140,0,1,29,250,999,999
2,8,6,7,0,0.5,160,130,135,0,2,28,160,160,150
3,6,1,2,3,0.5,170,120,95,23,2,5,110,125,165
3,6,2,2,0,0.5,160,140,155,15,0,15,175,200,100
3,6,3,2,0,1,150,65,65,9,0,21,110,95,110
3,6,5,3,2,0.5,160,200,120,9,2,19,100,155,100
3,6,8,2,4,1,130,95,100,12,1,17,255,135,165
3,6,7,0,0,0.5,170,190,150,14,1,15,175,130,135
3,6,6,1,2,0.5,160,150,140,21,3,6,115,210,150
3,6,4,2,1,1,200,90,130,7,3,20,255,205,255
3,7,2,0,13,1,165,110,140,8,1,21,190,205,225
3,7,4,1,7,0.5,180,140,180,5,3,22,95,140,205
3,7,5,2,15,0.5,160,150,250,8,0,22,175,205,185
3,7,7,5,11,1,185,80,120,12,3,15,170,250,185
3,7,3,1,1,1,175,85,100,14,3,13,170,165,130
3,7,8,9,26,1,170,180,135,11,4,15,190,165,170
3,7,6,1,10,0.5,190,110,105,14,1,16,195,175,120
3,7,1,1,7,1,135,115,70,6,2,22,105,185,170
3,8,1,1,0,1,130,120,70,7,1,22,220,220,240
3,8,3,2,0,1,175,170,90,14,1,15,225,150,135
3,8,7,1,0,1,160,130,120,12,3,15,200,190,240
3,8,4,1,0,1,160,95,115,23,0,7,150,230,205
3,8,2,1,0,1,165,120,120,15,0,15,270,250,150
3,8,5,1,0,0.5,175,180,165,9,0,21,160,150,140
3,8,6,6,0,1,165,115,85,22,2,6,250,180,170
3,8,8,0,0,1,130,95,85,9,5,16,250,190,160
4,6,3,2,4,1,140,100,65,0,0,30,195,190,180
4,6,4,5,3,1,140,155,100,0,1,29,200,115,150
4,6,5,2,7,1,125,120,90,0,0,30,175,185,205
4,6,6,9,0,1,135,100,80,0,0,30,200,135,175
4,6,7,1,2,1,130,80,80,0,0,30,145,180,215
4,6,2,1,1,1,130,100,110,0,0,30,150,205,200
4,6,1,5,0,1,130,110,120,0,0,30,200,230,135
4,6,8,1,3,1,160,110,160,0,0,30,170,230,180
4,7,1,139,2,1,150,110,120,0,1,29,135,215,195
4,7,2,84,3,1,160,110,150,0,0,30,190,225,230
4,7,3,5,6,0.5,150,150,150,0,1,29,230,160,275
4,7,4,1,0,1,140,85,95,0,3,27,240,205,225
4,7,5,3,5,0.5,165,160,140,0,0,30,225,235,205
4,7,8,2,0,1,120,105,100,0,5,25,245,185,225
4,7,7,5,5,1,150,120,140,0,0,30,180,270,235
4,7,6,6,0,1,130,90,90,0,6,24,150,160,260
4,8,3,4,2,1,150,120,95,0,6,24,360,310,350
4,8,4,5,3,0.5,160,145,155,0,2,28,250,300,275
4,8,6,56,0,0.5,140,135,120,0,3,27,340,350,320
4,8,2,1,3,0.5,165,130,130,0,4,26,250,270,300
4,8,1,2,4,0.5,140,140,135,0,0,30,320,260,350
4,8,5,5,8,1,150,120,115,0,3,27,120,190,250
4,8,7,1,1,1,125,110,85,0,0,30,310,290,300
4,8,8,2,4,0.5,140,115,135,0,5,25,350,360,375
5,6,2,4,0,1,130,90,85,0,0,30,165,140,175
5,6,3,1,0,1,85,50,70,0,0,30,100,160,130
5,6,4,27,0,1,100,80,95,0,0,30,150,115,170
5,6,7,36,0,1,110,75,70,0,0,30,150,150,105
5,6,5,10,0,1,100,100,60,0,0,30,115,110,145
5,6,8,26,0,1,90,65,65,0,0,30,125,145,125
5,6,1,9,0,1,100,90,90,0,0,30,135,120,165
5,6,6,13,0,1,100,75,80,0,0,30,125,125,120
5,7,3,4,0,1,110,90,95,0,0,30,135,275,255
5,7,4,1,0,1,140,110,105,0,0,30,300,295,280
5,7,5,3,0,1,125,105,80,0,1,29,250,260,295
5,7,6,3,0,1,120,80,70,0,0,30,250,200,240
5,7,1,9,0,1,125,100,100,0,0,30,290,190,225
5,7,8,2,0,1,110,80,80,0,0,30,140,200,225
5,7,2,6,0,1,105,65,85,0,0,30,230,150,195
5,7,7,14,0,1,110,95,75,0,0,30,220,160,205
5,8,1,2,0,1,110,95,90,0,1,29,240,265,175
5,8,3,3,0,1,110,65,55,0,1,29,200,180,205
5,8,5,5,0,1,110,125,125,0,0,30,205,265,245
5,8,7,7,0,1,110,75,115,0,0,30,240,200,240
5,8,8,1,0,1,110,60,60,0,0,30,250,230,200
5,8,4,10,0,1,115,95,70,0,1,29,200,225,255
5,8,6,3,0,1,115,105,95,0,0,30,350,205,300
5,8,2,8,0,1,110,110,115,0,0,30,150,265,145
6,6,1,0,0,1,120,70,70,0,1,29,160,175,165
6,6,5,2,0,1,130,70,80,0,1,29,170,195,165
6,6,7,2,0,1,150,90,90,0,1,29,175,160,180
6,6,8,0,0,1,160,80,70,0,0,30,195,130,150
6,6,4,2,0,1,150,80,100,0,1,29,225,140,165
6,6,2,0,0,1,155,110,75,0,0,30,175,175,175
6,6,6,1,0,1,140,90,80,0,2,28,210,200,200
6,6,3,1,0,0.5,170,150,160,0,0,30,210,140,210
6,7,2,1,0,1,120,55,80,0,1,29,260,320,320
