Sitecode,Monthcode,Replicate,Number_of_beat
1,6,2,1
1,6,4,1
1,6,5,1
1,6,7,1
1,7,2,1
1,7,4,1
1,7,6,1
1,7,7,1
1,7,5,1
1,7,3,1
1,7,8,1
1,7,1,1
1,8,4,1
1,8,5,1
1,8,7,1
1,8,8,1
1,8,1,1
1,8,6,1
1,8,999,2
2,6,1,1
2,6,5,1
2,6,6,1
2,6,7,1
2,6,2,1
2,6,4,1
2,6,8,1
2,6,3,1
2,7,2,1
2,7,5,1
2,7,7,1
2,7,8,1
2,7,6,1
2,7,3,1
2,7,4,1
2,7,1,1
2,8,2,1
2,8,3,1
2,8,5,1
2,8,8,1
2,8,4,1
2,8,1,1
2,8,7,1
2,8,6,1
3,6,1,1
3,6,2,1
3,6,3,1
3,6,5,1
3,6,8,1
3,6,7,1
3,6,6,1
3,6,4,1
3,7,2,1
3,7,4,1
3,7,5,1
3,7,7,1
3,7,3,1
3,7,8,1
3,7,6,1
3,7,1,1
3,8,1,1
3,8,3,1
3,8,7,1
3,8,4,1
3,8,2,1
3,8,5,1
3,8,6,1
3,8,8,1
4,6,3,1
4,6,4,1
4,6,5,1
4,6,6,1
4,6,7,1
4,6,2,1
4,6,1,1
4,6,8,1
4,7,1,1
4,7,2,1
4,7,3,1
4,7,4,1
4,7,5,1
4,7,8,1
4,7,7,1
4,7,6,1
4,8,3,1
4,8,4,1
4,8,6,1
4,8,2,1
4,8,1,1
4,8,5,1
4,8,7,1
4,8,8,1
5,6,2,1
5,6,3,1
5,6,4,1
5,6,7,1
5,6,5,1
5,6,8,1
5,6,1,1
5,6,6,1
5,7,3,1
5,7,4,1
5,7,5,1
5,7,6,1
5,7,1,1
5,7,8,1
5,7,2,1
5,7,7,1
5,8,1,1
5,8,3,1
5,8,5,1
5,8,7,1
5,8,8,1
5,8,4,1
5,8,6,1
5,8,2,1
6,6,1,1
6,6,5,1
6,6,7,1
6,6,8,1
6,6,4,1
6,6,2,1
6,6,6,1
6,6,3,1
6,7,2,1
6,7,3,1
6,7,4,1
6,7,5,1
6,7,7,1
6,7,1,1
6,7,8,1
6,7,6,1
6,8,4,1
6,8,5,1
6,8,6,1
6,8,7,1
6,8,1,1
6,8,3,1
6,8,8,1
6,8,2,1
7,6,5,1
7,6,6,1
7,6,7,1
7,6,8,1
7,7,1,1
7,7,2,1
7,7,5,1
7,7,8,1
7,7,4,1
7,7,7,1
7,7,3,1
7,7,6,1
7,8,7,1
7,8,4,1
7,8,8,1
7,8,3,1
7,8,1,1
7,8,2,1
7,8,5,1
7,8,6,1
8,6,3,1
8,6,4,1
8,6,6,1
8,6,7,1
8,6,2,1
8,6,8,1
8,6,5,1
8,6,1,1
8,7,2,1
8,7,3,1
8,7,5,1
8,7,6,1
8,7,1,1
8,7,7,1
8,7,8,1
8,7,4,1
8,8,1,1
8,8,2,1
8,8,5,1
8,8,8,1
8,8,3,1
8,8,4,1
8,8,7,1
8,8,6,1
9,6,1,1
9,6,2,1
9,6,6,1
9,6,8,1
9,7,1,1
9,7,2,1
9,7,3,1
9,7,4,1
9,7,8,1
9,7,7,1
9,7,5,1
9,7,6,1
9,8,1,1
9,8,2,1
9,8,3,1
9,8,4,1
9,8,5,1
9,8,6,1
9,8,8,1
9,8,7,1
10,6,2,1
10,6,3,1
10,6,5,1
10,6,8,1
10,7,1,1
10,7,3,1
10,7,5,1
10,7,8,1
10,7,4,1
10,7,2,1
10,7,6,1
10,7,7,1
10,8,2,1
10,8,5,1
10,8,6,1
10,8,8,1
10,8,4,1
10,8,3,1
10,8,1,1
10,8,7,1
11,6,3,1
11,6,6,1
11,6,7,1
11,6,8,1
11,7,1,1
11,7,2,1
11,7,3,1
11,7,4,1
11,7,5,1
11,7,6,1
11,7,7,1
11,7,8,1
11,8,1,1
11,8,2,1
11,8,3,1
11,8,4,1
11,8,5,1
11,8,6,1
11,8,7,1
11,8,8,1
12,6,1,1
12,6,2,1
12,6,3,1
12,6,4,1
12,6,5,1
12,6,6,1
12,6,7,1
12,6,8,1
12,7,1,1
12,7,4,1
12,7,5,1
12,7,6,1
12,7,3,1
12,7,7,1
12,7,2,1
12,7,8,1
12,8,1,1
12,8,3,1
12,8,5,1
12,8,2,1
12,8,8,1
12,8,4,1
12,8,6,1
12,8,7,1
13,6,2,1
13,6,4,1
13,6,6,1
13,6,8,1
13,6,3,1
13,6,1,1
13,6,7,1
13,6,5,1
13,7,2,1
13,7,3,1
13,7,4,1
13,7,6,1
13,7,5,1
13,7,8,1
13,7,1,1
13,7,7,1
13,8,1,1
13,8,2,1
13,8,6,1
13,8,4,1
13,8,5,1
13,8,8,1
13,8,3,1
13,8,7,1
14,6,1,1
14,6,5,1
14,6,7,1
14,6,8,1
14,6,2,1
14,6,4,1
14,6,6,1
14,6,3,1
14,7,1,1
14,7,2,1
14,7,4,1
14,7,5,1
14,7,3,1
14,7,7,1
14,7,6,1
14,7,8,1
14,8,4,1
14,8,6,1
14,8,7,1
14,8,8,1
14,8,5,1
14,8,2,1
14,8,3,1
14,8,1,1
15,6,3,1
15,6,4,1
15,6,5,1
15,6,7,1
15,6,2,1
15,6,1,1
15,6,8,1
15,6,6,1
15,7,1,1
15,7,2,1
15,7,3,1
15,7,4,1
15,7,5,1
15,7,6,1
15,7,7,1
15,7,8,1
15,8,2,1
15,8,4,1
15,8,5,1
15,8,8,1
15,8,7,1
15,8,6,1
15,8,3,1
15,8,1,1
