siteID,sitename,decimallatitude,decimallongitude,region,State
1,100 Acre,41.77,71.32,H,RI
2,Ace Basin,32.56,80.48,L,SC
3,Amelia Island,30.62,81.49,L,FL
4,Baruch,33.37,79.17,L,SC
5,Cottrell Marsh,41.34,71.95,H,CT
6,St Jones Reserve,39.09,75.45,M,DE
7,Great Neck,42.7,70.81,H,MA
8,JCR ,39.54,74.33,M,NJ
9,Nelson Island,42.75,70.82,H,MA
10,Rumstick,41.72,71.3,H,RI
11,Sapelo Island,31.52,81.23,L,GA
12,Stockton,38.04,75.37,M,MD
13,Masonboro,34.14,77.86,L,NC
14,Box Tree,37.4,75.88,M,VA
15,Red Bank,37.45,75.83,M,VA
