Guild,Model,adjRsquare,p
sap feeder,~3.1 - 0.2 (month),0.16,p = 0.0062
chewer,~-8.7 + 0.64 (lat) - 0.13 (month) - 0.0096 (lat^2),0.51,p < 0.001
borer,~14 - 0.37 (lat) - 1.8 (month) + 0.05 (lat:month),0.18,p = 0.016
ladybeetle,~-24 + 1.3 (lat) - 0.017 (lat^2),0.46,p < 0.001
web spider,~0.4,N/A,N/A
hunt spider,~-4.9 + 0.5 (lat) - 0.9 (month) + 0.03 (lat:month) - 0.01 (lat^2),0.43,p < 0.001
other predator,~-8.6 + 0.48 (lat) - 0.0064 (lat^2),0.045,p = 0.16
ant,~7.5 - 0.2 (lat) - 1.1 (month) + 0.031 (lat:month),0.08,p = 0.11
wasps,~0.51,N/A,N/A
fungi beetle,~0.12 - 0.016 (month),0.073,p = 0.05
